Sample,Method,Confidence_categories,Total_pergroup,Rate
0015,12S - Barque - VSEARCH - Curated,Confidence score<br>below threhold,1,0.909090909090909
0015,12S - Barque - VSEARCH - Non-curated,Confidence score<br>above threhold,108,99.0825688073395
0015,12S - Barque - VSEARCH - Non-curated,Confidence score<br>below threhold,1,0.917431192660551
0015,12S - DADA2 - RDP - Curated,Confidence score<br>above threhold,127,3.99874055415617
0015,12S - DADA2 - RDP - Curated,Confidence score<br>below threhold,3049,96.0012594458438
0015,12S - DADA2 - RDP - Non-curated,Confidence score<br>above threhold,99,3.11712846347607
0015,12S - DADA2 - RDP - Non-curated,Confidence score<br>below threhold,3077,96.8828715365239
0015,COI - Barque - VSEARCH - Curated,Confidence score<br>above threhold,3,75
0015,COI - Barque - VSEARCH - Curated,Confidence score<br>below threhold,1,25
0015,COI - Barque - VSEARCH - Non-curated,Confidence score<br>above threhold,6,100
0015,COI - DADA2 - RDP - Curated,Confidence score<br>above threhold,73,9.25221799746515
0015,COI - DADA2 - RDP - Curated,Confidence score<br>below threhold,716,90.7477820025348
0015,COI - DADA2 - RDP - Non-curated,Confidence score<br>above threhold,77,9.73451327433628
0015,COI - DADA2 - RDP - Non-curated,Confidence score<br>below threhold,714,90.2654867256637
0016,12S - Barque - VSEARCH - Curated,Confidence score<br>above threhold,161,99.3827160493827
0016,12S - Barque - VSEARCH - Curated,Confidence score<br>below threhold,1,0.617283950617284
0016,12S - Barque - VSEARCH - Non-curated,Confidence score<br>above threhold,157,99.3670886075949
0016,12S - Barque - VSEARCH - Non-curated,Confidence score<br>below threhold,1,0.632911392405063
0016,12S - DADA2 - RDP - Curated,Confidence score<br>above threhold,127,3.99874055415617
0016,12S - DADA2 - RDP - Curated,Confidence score<br>below threhold,3049,96.0012594458438
0016,12S - DADA2 - RDP - Non-curated,Confidence score<br>above threhold,99,3.11712846347607
0016,12S - DADA2 - RDP - Non-curated,Confidence score<br>below threhold,3077,96.8828715365239
0016,COI - Barque - VSEARCH - Curated,Confidence score<br>above threhold,4,80
0016,COI - Barque - VSEARCH - Curated,Confidence score<br>below threhold,1,20
0016,COI - Barque - VSEARCH - Non-curated,Confidence score<br>above threhold,5,71.4285714285714
0016,COI - Barque - VSEARCH - Non-curated,Confidence score<br>below threhold,2,28.5714285714286
0016,COI - DADA2 - RDP - Curated,Confidence score<br>above threhold,73,9.25221799746515
0016,COI - DADA2 - RDP - Curated,Confidence score<br>below threhold,716,90.7477820025348
0016,COI - DADA2 - RDP - Non-curated,Confidence score<br>above threhold,77,9.73451327433628
0016,COI - DADA2 - RDP - Non-curated,Confidence score<br>below threhold,714,90.2654867256637
0017,12S - Barque - VSEARCH - Curated,Confidence score<br>above threhold,68,95.7746478873239
0017,12S - Barque - VSEARCH - Curated,Confidence score<br>below threhold,3,4.22535211267606
0017,12S - Barque - VSEARCH - Non-curated,Confidence score<br>above threhold,64,96.969696969697
0017,12S - Barque - VSEARCH - Non-curated,Confidence score<br>below threhold,2,3.03030303030303
0017,12S - DADA2 - RDP - Curated,Confidence score<br>above threhold,127,3.99874055415617
0017,12S - DADA2 - RDP - Curated,Confidence score<br>below threhold,3049,96.0012594458438
0017,12S - DADA2 - RDP - Non-curated,Confidence score<br>above threhold,99,3.11712846347607
0017,12S - DADA2 - RDP - Non-curated,Confidence score<br>below threhold,3077,96.8828715365239
0017,COI - Barque - VSEARCH - Curated,Confidence score<br>above threhold,3,100
0017,COI - Barque - VSEARCH - Non-curated,Confidence score<br>above threhold,3,100
0017,COI - DADA2 - RDP - Curated,Confidence score<br>above threhold,73,9.25221799746515
0017,COI - DADA2 - RDP - Curated,Confidence score<br>below threhold,716,90.7477820025348
0017,COI - DADA2 - RDP - Non-curated,Confidence score<br>above threhold,77,9.73451327433628
0017,COI - DADA2 - RDP - Non-curated,Confidence score<br>below threhold,714,90.2654867256637
0018,12S - Barque - VSEARCH - Curated,Confidence score<br>above threhold,267,93.0313588850174
0018,12S - Barque - VSEARCH - Curated,Confidence score<br>below threhold,20,6.96864111498258
0018,12S - Barque - VSEARCH - Non-curated,Confidence score<br>above threhold,267,93.0313588850174
0018,12S - Barque - VSEARCH - Non-curated,Confidence score<br>below threhold,20,6.96864111498258
0018,12S - DADA2 - RDP - Curated,Confidence score<br>above threhold,127,3.99874055415617
0018,12S - DADA2 - RDP - Curated,Confidence score<br>below threhold,3049,96.0012594458438
